iter	Passed	Remaining
0	119	119656
1	122	61309
2	125	41778
3	128	32025
4	131	26262
5	135	22407
6	138	19699
7	141	17589
8	145	15972
9	148	14672
10	151	13590
11	153	12677
12	157	11929
13	160	11277
14	163	10704
15	165	10200
16	168	9753
17	175	9586
18	178	9215
19	181	8881
20	184	8602
21	187	8355
22	191	8124
23	194	7895
24	197	7687
25	199	7485
26	202	7298
27	205	7127
28	208	6969
29	211	6848
30	214	6711
31	217	6578
32	220	6455
33	223	6357
34	226	6258
35	230	6172
36	233	6082
37	237	6008
38	241	5940
39	244	5865
40	253	5935
41	256	5854
42	260	5789
43	263	5724
44	267	5670
45	270	5614
46	274	5573
47	278	5521
48	281	5468
49	284	5412
50	288	5361
51	291	5310
52	294	5260
53	297	5208
54	300	5163
55	303	5121
56	307	5088
57	310	5047
58	314	5011
59	317	4976
60	320	4940
61	324	4911
62	328	4879
63	331	4852
64	334	4813
65	338	4785
66	341	4756
67	344	4725
68	347	4691
69	351	4663
70	354	4635
71	357	4614
72	361	4584
73	364	4559
74	368	4539
75	371	4513
76	374	4485
77	377	4465
78	380	4441
79	384	4421
80	388	4406
81	391	4387
82	395	4367
83	398	4345
84	402	4327
85	405	4308
86	408	4285
87	411	4260
88	414	4241
89	417	4220
90	420	4199
91	423	4179
92	426	4160
93	429	4142
94	432	4121
95	435	4100
96	438	4081
97	441	4067
98	444	4046
99	447	4029
100	450	4010
101	454	3998
102	457	3983
103	460	3965
104	463	3947
105	466	3933
106	469	3922
107	473	3909
108	476	3894
109	479	3882
110	483	3871
111	486	3858
112	489	3845
113	493	3833
114	496	3823
115	499	3808
116	502	3793
117	506	3782
118	508	3767
119	511	3752
120	514	3737
121	518	3729
122	521	3718
123	524	3706
124	527	3692
125	531	3684
126	534	3673
127	537	3665
128	541	3654
129	544	3645
130	548	3635
131	551	3624
132	554	3614
133	558	3609
134	562	3601
135	565	3590
136	568	3582
137	571	3571
138	574	3561
139	578	3551
140	581	3545
141	585	3540
142	589	3531
143	592	3523
144	596	3515
145	599	3506
146	602	3498
147	606	3492
148	611	3493
149	615	3486
150	619	3481
151	622	3473
152	626	3465
153	629	3456
154	633	3453
155	636	3443
156	639	3434
157	642	3425
158	646	3420
159	660	3470
160	664	3461
161	667	3454
162	671	3447
163	674	3437
164	677	3430
165	681	3423
166	684	3416
167	688	3409
168	692	3403
169	695	3396
170	699	3390
171	703	3384
172	706	3377
173	710	3370
174	713	3362
175	716	3356
176	719	3346
177	723	3340
178	726	3332
179	730	3327
180	733	3320
181	737	3312
182	740	3305
183	743	3297
184	746	3290
185	749	3282
186	753	3275
187	756	3269
188	761	3267
189	764	3261
190	768	3253
191	771	3248
192	775	3244
193	779	3240
194	783	3235
195	787	3229
196	790	3222
197	794	3217
198	797	3211
199	801	3205
200	804	3199
201	808	3192
202	811	3187
203	815	3180
204	818	3175
205	822	3170
206	826	3165
207	829	3159
208	833	3154
209	836	3147
210	840	3142
211	844	3139
212	848	3135
213	851	3127
214	854	3119
215	860	3123
